Vivado Simulator 2020.1
Time resolution is 1 ps
Time | PC | Instruction | ALU Result | WriteData | LEDs
0 | 00000000 | 10000113 | 00000100 | 00000100 | xxxx
25000 | 00000000 | 10000113 | 00000100 | 00000100 | 0000
105000 | 00000004 | 10000313 | 00000100 | 00000100 | 0000
115000 | 00000008 | 00000393 | 00000000 | 00000000 | 0000
125000 | 0000000c | 00100413 | 00000001 | 00000001 | 0000
135000 | 00000010 | 00a00713 | 0000000a | 0000000a | 0000
145000 | 00000014 | 00040533 | 00000001 | 00000001 | 0000
155000 | 00000018 | 020000ef | 00000000 | 0000001c | 0000
165000 | 00000038 | ff810113 | 000000f8 | 000000f8 | 0000
175000 | 0000003c | 00112223 | 000000fc | 000000fc | 0000
185000 | 00000040 | 00a12023 | 000000f8 | 000000f8 | 0000
195000 | 00000044 | 00a32023 | 00000100 | 00000100 | 0000
205000 | 00000048 | 0ee6b6b7 | 0ee6b000 | 0ee6b000 | 0000
215000 | 0000004c | 28068693 | 0ee6b280 | 0ee6b280 | 0000
225000 | 00000050 | fff68693 | 0ee6b27f | 0ee6b27f | 0001
235000 | 00000054 | fe069ee3 | 0ee6b27f | 0ee6b27f | 0001
245000 | 00000050 | fff68693 | 0ee6b27e | 0ee6b27e | 0001
255000 | 00000054 | fe069ee3 | 0ee6b27e | 0ee6b27e | 0001
265000 | 00000050 | fff68693 | 0ee6b27d | 0ee6b27d | 0001
275000 | 00000054 | fe069ee3 | 0ee6b27d | 0ee6b27d | 0001
285000 | 00000050 | fff68693 | 0ee6b27c | 0ee6b27c | 0001
295000 | 00000054 | fe069ee3 | 0ee6b27c | 0ee6b27c | 0001
305000 | 00000050 | fff68693 | 0ee6b27b | 0ee6b27b | 0001
315000 | 00000054 | fe069ee3 | 0ee6b27b | 0ee6b27b | 0001
325000 | 00000050 | fff68693 | 0ee6b27a | 0ee6b27a | 0001
335000 | 00000054 | fe069ee3 | 0ee6b27a | 0ee6b27a | 0001
345000 | 00000050 | fff68693 | 0ee6b279 | 0ee6b279 | 0001
355000 | 00000054 | fe069ee3 | 0ee6b279 | 0ee6b279 | 0001
365000 | 00000050 | fff68693 | 0ee6b278 | 0ee6b278 | 0001
375000 | 00000054 | fe069ee3 | 0ee6b278 | 0ee6b278 | 0001
385000 | 00000050 | fff68693 | 0ee6b277 | 0ee6b277 | 0001
395000 | 00000054 | fe069ee3 | 0ee6b277 | 0ee6b277 | 0001
405000 | 00000050 | fff68693 | 0ee6b276 | 0ee6b276 | 0001
415000 | 00000054 | fe069ee3 | 0ee6b276 | 0ee6b276 | 0001
425000 | 00000050 | fff68693 | 0ee6b275 | 0ee6b275 | 0001
435000 | 00000054 | fe069ee3 | 0ee6b275 | 0ee6b275 | 0001
445000 | 00000050 | fff68693 | 0ee6b274 | 0ee6b274 | 0001
455000 | 00000054 | fe069ee3 | 0ee6b274 | 0ee6b274 | 0001
465000 | 00000050 | fff68693 | 0ee6b273 | 0ee6b273 | 0001
475000 | 00000054 | fe069ee3 | 0ee6b273 | 0ee6b273 | 0001
485000 | 00000050 | fff68693 | 0ee6b272 | 0ee6b272 | 0001
495000 | 00000054 | fe069ee3 | 0ee6b272 | 0ee6b272 | 0001
505000 | 00000050 | fff68693 | 0ee6b271 | 0ee6b271 | 0001
515000 | 00000054 | fe069ee3 | 0ee6b271 | 0ee6b271 | 0001
525000 | 00000050 | fff68693 | 0ee6b270 | 0ee6b270 | 0001
535000 | 00000054 | fe069ee3 | 0ee6b270 | 0ee6b270 | 0001
545000 | 00000050 | fff68693 | 0ee6b26f | 0ee6b26f | 0001
555000 | 00000054 | fe069ee3 | 0ee6b26f | 0ee6b26f | 0001
565000 | 00000050 | fff68693 | 0ee6b26e | 0ee6b26e | 0001
575000 | 00000054 | fe069ee3 | 0ee6b26e | 0ee6b26e | 0001
585000 | 00000050 | fff68693 | 0ee6b26d | 0ee6b26d | 0001
595000 | 00000054 | fe069ee3 | 0ee6b26d | 0ee6b26d | 0001
605000 | 00000050 | fff68693 | 0ee6b26c | 0ee6b26c | 0001
615000 | 00000054 | fe069ee3 | 0ee6b26c | 0ee6b26c | 0001
625000 | 00000050 | fff68693 | 0ee6b26b | 0ee6b26b | 0001
635000 | 00000054 | fe069ee3 | 0ee6b26b | 0ee6b26b | 0001
645000 | 00000050 | fff68693 | 0ee6b26a | 0ee6b26a | 0001
655000 | 00000054 | fe069ee3 | 0ee6b26a | 0ee6b26a | 0001
665000 | 00000050 | fff68693 | 0ee6b269 | 0ee6b269 | 0001
675000 | 00000054 | fe069ee3 | 0ee6b269 | 0ee6b269 | 0001
685000 | 00000050 | fff68693 | 0ee6b268 | 0ee6b268 | 0001
695000 | 00000054 | fe069ee3 | 0ee6b268 | 0ee6b268 | 0001
705000 | 00000050 | fff68693 | 0ee6b267 | 0ee6b267 | 0001
715000 | 00000054 | fe069ee3 | 0ee6b267 | 0ee6b267 | 0001
725000 | 00000050 | fff68693 | 0ee6b266 | 0ee6b266 | 0001
735000 | 00000054 | fe069ee3 | 0ee6b266 | 0ee6b266 | 0001
745000 | 00000050 | fff68693 | 0ee6b265 | 0ee6b265 | 0001
755000 | 00000054 | fe069ee3 | 0ee6b265 | 0ee6b265 | 0001
765000 | 00000050 | fff68693 | 0ee6b264 | 0ee6b264 | 0001
775000 | 00000054 | fe069ee3 | 0ee6b264 | 0ee6b264 | 0001
785000 | 00000050 | fff68693 | 0ee6b263 | 0ee6b263 | 0001
795000 | 00000054 | fe069ee3 | 0ee6b263 | 0ee6b263 | 0001
805000 | 00000050 | fff68693 | 0ee6b262 | 0ee6b262 | 0001
815000 | 00000054 | fe069ee3 | 0ee6b262 | 0ee6b262 | 0001
825000 | 00000050 | fff68693 | 0ee6b261 | 0ee6b261 | 0001
835000 | 00000054 | fe069ee3 | 0ee6b261 | 0ee6b261 | 0001
845000 | 00000050 | fff68693 | 0ee6b260 | 0ee6b260 | 0001
855000 | 00000054 | fe069ee3 | 0ee6b260 | 0ee6b260 | 0001
865000 | 00000050 | fff68693 | 0ee6b25f | 0ee6b25f | 0001
875000 | 00000054 | fe069ee3 | 0ee6b25f | 0ee6b25f | 0001
885000 | 00000050 | fff68693 | 0ee6b25e | 0ee6b25e | 0001
895000 | 00000054 | fe069ee3 | 0ee6b25e | 0ee6b25e | 0001
905000 | 00000050 | fff68693 | 0ee6b25d | 0ee6b25d | 0001
915000 | 00000054 | fe069ee3 | 0ee6b25d | 0ee6b25d | 0001
925000 | 00000050 | fff68693 | 0ee6b25c | 0ee6b25c | 0001
935000 | 00000054 | fe069ee3 | 0ee6b25c | 0ee6b25c | 0001
945000 | 00000050 | fff68693 | 0ee6b25b | 0ee6b25b | 0001
955000 | 00000054 | fe069ee3 | 0ee6b25b | 0ee6b25b | 0001
965000 | 00000050 | fff68693 | 0ee6b25a | 0ee6b25a | 0001
975000 | 00000054 | fe069ee3 | 0ee6b25a | 0ee6b25a | 0001
985000 | 00000050 | fff68693 | 0ee6b259 | 0ee6b259 | 0001
995000 | 00000054 | fe069ee3 | 0ee6b259 | 0ee6b259 | 0001
