Vivado Simulator 2020.1
Time resolution is 1 ps
Starting Simulation...
Time | PC       | Instr    | x1 | x2 | x3 (SLT) | x5 (LUI)
----------------------------------------------------------
               26000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               36000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               46000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               56000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               66000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               76000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               86000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
               96000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              106000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              116000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              126000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              136000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              146000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              156000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              166000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              176000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              186000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              196000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              206000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              216000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              226000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              236000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              246000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              256000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              266000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              276000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              286000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              296000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              306000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              316000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              326000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              336000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              346000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              356000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              366000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              376000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              386000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              396000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              406000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              416000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              426000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              436000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              446000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              456000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              466000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              476000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              486000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              496000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              506000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              516000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              526000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              536000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              546000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              556000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              566000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              576000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              586000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              596000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              606000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              616000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              626000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
              636000 | 00000000 | 00500093 |          0  |          0  |          0        | 00000000
